strain	database_strain	accession	date	authors
A/Seoul/1/1990	A/Seoul/1/90	AY661072	1990-XX-XX	Smith,D.J., Lapedes,A.S., de Jong,J.C., Bestebroer,T.M., Rimmelzwaan,G.F., Osterhaus,A.D. and Fouchier,R.A.
A/Shiga/6/1993	A/Shiga/6/1993	CY112653	1993-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Singapore/70/2005	A/Singapore/70/2005	DQ865951	2005-08-10	Barr,I.G., Hurt,A.C., Iannello,P., Tomasov,C., Deed,N. and Komadina,N.
A/SouthAustralia/102/2001	A/SouthAustralia/102/2001	EU501121	2001-10-29	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/SouthAustralia/23/1992	A/SouthAustralia/23/1992	AY661127	1992-XX-XX	Smith,D.J., Lapedes,A.S., de Jong,J.C., Bestebroer,T.M., Rimmelzwaan,G.F., Osterhaus,A.D. and Fouchier,R.A.
A/SouthAustralia/27/1992	A/SouthAustralia/27/1992	AY661128	1992-XX-XX	Smith,D.J., Lapedes,A.S., de Jong,J.C., Bestebroer,T.M., Rimmelzwaan,G.F., Osterhaus,A.D. and Fouchier,R.A.
A/Taiwan/83/2006	A/Taiwan/83/2006	EU124073	2006-02-04	Komadina,N.
A/Texas/40/2003	A/Texas/40/2003	EF473582	2003-XX-XX	Shaw,M.
A/Uruguay/716/2007	A/Uruguay/716/2007	CY121632	2007-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Victoria/102/2003	A/VICTORIA/102/2003	EU501345	2002-01-12	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Victoria/3/1975	A/Victoria/3/1975	V01098	1975-XX-XX	Jou,W.M., Verhoeyen,M., Devos,R., Saman,E., Fang,R., Huylebroeck,D., Fiers,W., Threlfall,G., Barber,C., Carey,N. and Emtage,S.
A/Victoria/7/1987	A/Victoria/7/1987	AF008888	1987-XX-XX	Fitch,W.M., Bush,R.M., Bender,C.A. and Cox,N.J.
A/Wellington/1/2004	A/Wellington/01/2004	CY121480	2004-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Wisconsin/3/2007	A/Wisconsin/03/2007	CY121528	2007-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Wisconsin/15/2009	A/Wisconsin/15/2009	CY121041	2009-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Wuhan/359/1995	A/Wuhan/359/1995	CY112821	1995-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Wyoming/2/2003	A/Wyoming/2/2003	EF473602	2003-XX-XX	Shaw,M.
A/Yamagata/62/1993	A/Yamagata/62/1993	CY112693	1993-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
